MyUniID,NS1,refCoupNum,coup1,coup2,coup3,interviewDt
24,20,51035,NA,NA,NA,1584442466000
26,35,11007,61004,61005,61006,1583937591000
30,5,51034,NA,NA,NA,1584540228000
31,10,51037,NA,NA,NA,1584893668000
32,11,51039,NA,NA,NA,1585053790000
40,11,71049,71114,71113,71112,1586177481000
42,5,61005,51040,51041,51042,1584286495000
48,4,71021,51039,51037,51038,1584284390000
87,5,51040,NA,NA,NA,1584548470000
114,4,71002,71038,71037,71039,1584370448000
115,15,51053,NA,NA,NA,1585150064000
136,20,51041,NA,NA,NA,1584448504000
147,6,71020,71026,71025,71027,1584275843000
148,12,71167,71217,71219,71218,1587473947000
152,6,71025,51054,51052,51053,1584442514000
163,5,51054,51103,51104,51105,1584978580000
165,10,71037,NA,NA,NA,1585670101000
166,20,51042,NA,NA,NA,1584973446000
182,10,51055,6040,6041,6042,1584889882000
183,4,51031,NA,NA,NA,1584452047000
196,10,11082,6076,6077,6078,1585670622000
214,10,11084,NA,NA,NA,1585585860000
244,24,61070,11082,11084,11083,1585499318000
247,18,61054,NA,NA,NA,1585222138000
252,16,11058,11061,11062,11063,1584967091000
257,11,11059,61053,61054,61052,1584978154000
262,10,11055,11058,11059,11060,1584886657000
267,23,6013,NA,NA,NA,1585058075000
290,11,11038,11057,11055,11056,1584617725000
292,15,61046,NA,NA,NA,1584978313000
303,11,11033,11043,11045,11044,1584459416000
304,3,6015,61046,61047,61048,1584893647000
305,13,61048,NA,NA,NA,1585058135000
316,16,71108,NA,NA,NA,1586351169000
321,15,61078,11112,11113,11114,1586797039000
332,7,71003,6013,6014,6015,1584285846000
334,14,61088,11130,11132,11131,1586876970000
342,20,61039,61090,61089,61088,1585497420000
348,13,61090,11085,11086,11087,1585582795000
352,14,11010,NA,NA,NA,1584459532000
366,11,11035,NA,NA,NA,1584450061000
372,15,31136,41166,41165,41164,1586869489000
374,10,11074,61076,61078,61077,1585222228000
375,8,11050,61057,61056,61055,1584983618000
381,7,11047,91019,91021,91020,1584547581000
382,13,61055,91029,91028,91030,1585064322000
386,6,51049,11046,11047,11048,1584464212000
388,13,61077,11079,11080,11081,1585492611000
396,16,61096,61108,61106,61107,1586711795000
406,25,61042,NA,NA,NA,1585137694000
408,20,91019,NA,NA,NA,1584973782000
419,6,91042,NA,NA,NA,1585671730000
421,11,61056,NA,NA,NA,1585219197000
426,10,11048,NA,NA,NA,1584617065000
428,17,11046,NA,NA,NA,1584972789000
430,14,11049,NA,NA,NA,1584896110000
